numero,nombre,tipo,contacto,cargo,correo electronico,telefono,ciudad,pais,observaciones,razon social,tipo de contribuyente,cuit,alta,baja,activo,frecuencia,importe,nro de cuenta,nombre de cuenta,descripcion
D00039,Quantum Ventures,Empresa,Contacto MM,-,quantumventures@example.com,(011) 5000-0039,Buenos Aires,Argentina,Observacion 39,S.R.L.,Responsable Inscripto,28-90123459-1,2024-06-28,,True,Anual,406805.0,403101,Donaciones Personales no recurrentes,varios
D00040,Orion Innovaciones,Empresa,Contacto NN,-,orioninnovaciones@example.com,(011) 5000-0040,Buenos Aires,Argentina,Observacion 40,S.R.L.,Monotributista,29-01234570-2,2024-04-27,,True,Mensual,333954.0,402101,Ingresos Institucionales mensuales,varios
D00042,Ana Lopez,Individuo,Contacto PP,Analista,analopez@example.com,(011) 5000-0042,Buenos Aires,Argentina,Observacion 42,-,Exento,21-23456783-5,2024-06-14,,True,Anual,167448.0,403101,Donaciones Personales no recurrentes,varios
D00043,Jorge Rodriguez,Individuo,Contacto QQ,Director,jorgerodriguez@example,(011) 5000-0043,Buenos Aires,Argentina,Observacion 43,-,Responsable Inscripto,22-34567894-6,2024-05-14,,True,Mensual,70569.0,402102,Donaciones Personales mensuales,varios
D00044,Sofia Diaz,Individuo,Contacto RR,Gerente,sofiadiaz@example.com,(011) 5000-0044,Buenos Aires,Argentina,Observacion 44,-,Monotributista,23-45678905-7,2024-04-03,,True,Bimestral,130021.0,403101,Donaciones Personales no recurrentes,varios
D00045,alejandro Torres,Individuo,Contacto SS,Coordinador,alejandrotorres@example.com,(011) 5000-0045,Buenos Aires,Argentina,Observacion 45,-,Exento,24-56789016-8,2024-04-12,,True,Anual,135342.0,403101,Donaciones Personales no recurrentes,varios
D00047,Sergio Rivas,Individuo,Contacto UU,Secretario,sergiorivas@example.com,(011) 5000-0047,Buenos Aires,Argentina,Observacion 47,-,Monotributista,26-78901238-0,2024-04-11,,True,Bimestral,104301.0,403101,Donaciones Personales no recurrentes,varios
D00048,Patricia Navarro,Individuo,Contacto VV,Analista,patricianavarro@example.com,(011) 5000-0048,Buenos Aires,Argentina,Observacion 48,-,Exento,27-89012349-1,2024-05-02,,True,Anual,158669.0,403101,Donaciones Personales no recurrentes,varios
D00049,Fernando Aguilar,Individuo,Contacto WW,Director,fernandoaguilar@example.com,(011) 5000-0049,Buenos Aires,Argentina,Observacion 49,-,Responsable Inscripto,28-90123450-2,2024-01-17,,True,Mensual,166965.0,402102,Donaciones Personales mensuales,varios
D00051,Rafael Silva,Individuo,Contacto YY,Coordinador,rafaelsilva@example.com,(011) 5000-0051,Buenos Aires,Argentina,Observacion 51,-,Exento,20-12345683-6,2024-04-17,,True,Anual,176989.0,403101,Donaciones Personales no recurrentes,varios
D00053,Hector Salazar,Individuo,Contacto AAA,Secretario,hectorsalazar@example.com,(011) 5000-0053,Buenos Aires,Argentina,Observacion 53,-,Monotributista,22-34567895-8,2024-06-27,,True,Bimestral,154758.0,403101,Donaciones Personales no recurrentes,varios
D00054,Carolina Mendoza,Individuo,Contacto BBB,Analista,carolinamendoza@example.com,(011) 5000-0054,Buenos Aires,Argentina,Observacion 54,-,Exento,23-45678906-9,2024-05-11,,True,Anual,55466.0,403101,Donaciones Personales no recurrentes,varios
D00055,Victor Gil,Individuo,Contacto CCC,Director,victorgil@example.com,(011) 5000-0055,Buenos Aires,Argentina,Observacion 55,-,Responsable Inscripto,24-56789017-0,2024-04-07,,True,Mensual,89589.0,402102,Donaciones Personales mensuales,varios
D00056,Claudia Ponce,Individuo,Contacto DDD,Gerente,claudiaponce@example.com,(011) 5000-0056,Buenos Aires,Argentina,Observacion 56,-,Monotributista,25-67890128-1,2024-04-22,,True,Bimestral,75404.0,403101,Donaciones Personales no recurrentes,varios
D00059,Adolfo Cabrera,Individuo,Contacto GGG,Secretario,adolfocabrera@example.com,(011) 5000-0059,Buenos Aires,Argentina,Observacion 59,-,Monotributista,28-90123461-4,2024-04-17,,True,Bimestral,133689.0,403101,Donaciones Personales no recurrentes,varios
D00060,Susana Munoz,Individuo,Contacto HHH,Analista,susanamunoz@example.com,(011) 5000-0060,Buenos Aires,Argentina,Observacion 60,-,Exento,29-01234572-5,2024-05-13,,True,Anual,58351.0,403101,Donaciones Personales no recurrentes,varios
D00062,Olga Vargas,Individuo,Contacto JJJ,Gerente,olgavargas@example.com,(011) 5000-0062,Buenos Aires,Argentina,Observacion 62,-,Monotributista,21-23456785-8,2024-05-16,,True,Bimestral,167335.0,403101,Donaciones Personales no recurrentes,varios
D00064,Emma Paredes,Individuo,Contacto LLL,Asistente,emmaparedes@example.com,(011) 5000-0064,Buenos Aires,Argentina,Observacion 64,-,Responsable Inscripto,23-45678907-0,2024-06-26,,True,Mensual,60683.0,402102,Donaciones Personales mensuales,varios
D00065,Joaquin Serrano,Individuo,Contacto MMM,Secretario,joaquinserrano@example.com,(011) 5000-0065,Buenos Aires,Argentina,Observacion 65,-,Monotributista,24-56789018-1,2024-05-09,,True,Bimestral,119390.0,403101,Donaciones Personales no recurrentes,varios
D00067,Damian Molina,Individuo,Contacto OOO,Director,damianmolina@example.com,(011) 5000-0067,Buenos Aires,Argentina,Observacion 67,-,Responsable Inscripto,26-78901230-3,2024-06-13,,True,Mensual,100701.0,402102,Donaciones Personales mensuales,varios
D00070,Clara Torres,Individuo,Contacto RRR,Asistente,claratorres@example.com,(011) 5000-0070,Buenos Aires,Argentina,Observacion 70,-,Responsable Inscripto,29-01234573-6,2024-05-29,,True,Mensual,121715.0,402102,Donaciones Personales mensuales,varios
D00071,Ezequiel Delgado,Individuo,Contacto SSS,Secretario,ezequieldelgado@example.com,(011) 5000-0071,Buenos Aires,Argentina,Observacion 71,-,Monotributista,20-12345685-8,2024-06-12,,True,Bimestral,181679.0,403101,Donaciones Personales no recurrentes,varios
D00072,Pilar Ortiz,Individuo,Contacto TTT,Analista,pilarortiz@example.com,(011) 5000-0072,Buenos Aires,Argentina,Observacion 72,-,Exento,21-23456786-9,2024-05-24,,True,Anual,164792.0,403101,Donaciones Personales no recurrentes,varios
D00073,Luciano Rivas,Individuo,Contacto UUU,Director,lucianorivas@example.com,(011) 5000-0073,Buenos Aires,Argentina,Observacion 73,-,Responsable Inscripto,22-34567897-0,2024-04-12,,True,Mensual,184834.0,402102,Donaciones Personales mensuales,varios
D00076,Mariana Fernandez,Individuo,Contacto XXX,Asistente,marianafernandez@example.com,(011) 5000-0076,Buenos Aires,Argentina,Observacion 76,-,Responsable Inscripto,25-67890130-3,2024-05-18,,True,Mensual,106340.0,402102,Donaciones Personales mensuales,varios
D00077,Luis Martinez,Individuo,Contacto YYY,Secretario,luismartinez@example,(011) 5000-0077,Buenos Aires,Argentina,Observacion 77,-,Monotributista,26-78901231-4,2024-06-20,,True,Bimestral,130340.0,403101,Donaciones Personales no recurrentes,varios
D00080,Silvia Ramirez,Individuo,Contacto BBBB,Gerente,silviaramirez@example.com,(011) 5000-0080,Buenos Aires,Argentina,Observacion 80,-,Monotributista,29-01234574-7,2024-06-30,,True,Bimestral,136947.0,403101,Donaciones Personales no recurrentes,varios
D00082,Natalia Castro,Individuo,Contacto DDDD,Asistente,nataliacastro@example.com,(011) 5000-0082,Buenos Aires,Argentina,Observacion 82,-,Responsable Inscripto,21-23456787-1,2024-06-24,,True,Mensual,114296.0,402102,Donaciones Personales mensuales,varios
D00084,Santiago Lopez,Individuo,Contacto FFFF,Analista,santiagolopez@example.com,(011) 5000-0084,Buenos Aires,Argentina,Observacion 84,-,Exento,23-45678909-3,2024-06-18,,True,Anual,137963.0,403101,Donaciones Personales no recurrentes,varios
D00086,Andres Silva,Individuo,Contacto HHHH,Gerente,andressilva@example.com,(011) 5000-0086,Buenos Aires,Argentina,Observacion 86,-,Monotributista,25-67890131-5,2024-04-05,,True,Bimestral,113891.0,403101,Donaciones Personales no recurrentes,varios
D00088,Javier Morales,Individuo,Contacto JJJJ,Asistente,javiermorales@example.com,(011) 5000-0088,Buenos Aires,Argentina,Observacion 88,-,Responsable Inscripto,27-89012333-7,2024-06-28,,True,Mensual,121338.0,402102,Donaciones Personales mensuales,varios
D00089,Liliana Romero,Individuo,Contacto KKKK,Secretario,lilianaromero@example.com,(011) 5000-0089,Buenos Aires,Argentina,Observacion 89,-,Monotributista,28-90123464-8,2024-06-10,,True,Bimestral,58739.0,403101,Donaciones Personales no recurrentes,varios
D00090,Maximiliano Alvarez,Individuo,Contacto LLLL,Analista,maximilianoalvarez@example.com,(011) 5000-0090,Buenos Aires,Argentina,Observacion 90,-,Exento,29-01234575-9,2024-04-10,,True,Anual,65020.0,403101,Donaciones Personales no recurrentes,varios
D00091,Elena Bravo,Individuo,Contacto MMMM,Director,elenabravo@example.com,(011) 5000-0091,Buenos Aires,Argentina,Observacion 91,-,Responsable Inscripto,20-12345687-0,2024-04-22,,True,Mensual,163410.0,402102,Donaciones Personales mensuales,varios
D00094,Rodrigo Medina,Individuo,Contacto PPPP,Asistente,rodrigomedina@example.com,(011) 5000-0094,Buenos Aires,Argentina,Observacion 94,-,Responsable Inscripto,23-45678990-3,2024-04-02,,True,Mensual,84706.0,403101,Donaciones Personales no recurrentes,varios
D00096,Emilio Soto,Individuo,Contacto RRRR,Analista,emiliosoto@example.com,(011) 5000-0096,Buenos Aires,Argentina,Observacion 96,-,Exento,25-67890122-5,2024-04-15,,True,Anual,114424.0,403101,Donaciones Personales no recurrentes,varios
D00096,Emilio Soto,Individuo,Contacto RRRR,Analista,emiliosoto@example.com,(011) 5000-0096,Buenos Aires,Argentina,Observacion 96,-,Exento,25-67890122-5,2024-04-15,,True,Anual,110881.0,403101,Donaciones Personales no recurrentes,varios
D00096,Emilio Soto,Individuo,Contacto RRRR,Analista,emiliosoto@example.com,(011) 5000-0096,Buenos Aires,Argentina,Observacion 96,-,Exento,25-67890122-5,2024-04-15,,True,Anual,57867.0,403101,Donaciones Personales no recurrentes,varios
D00097,Rocio Cabrera,Individuo,Contacto SSSS,Director,rociocabrera@example.com,(011) 5000-0097,Buenos Aires,Argentina,Observacion 97,-,Responsable Inscripto,26-78901233-6,2024-05-28,,True,Mensual,139723.0,402102,Donaciones Personales mensuales,varios
D00098,Pablo Fernandez,Individuo,Contacto TTTT,Gerente,pablofernandez@example.com,(011) 5000-0098,Buenos Aires,Argentina,Observacion 98,-,Monotributista,27-89012344-7,2024-05-05,,True,Bimestral,133131.0,403101,Donaciones Personales no recurrentes,varios
D00101,Donaciones Co.,Empresa,Contacto VVVV,-,donacionesco.@example.com,(011) 5000-0101,Buenos Aires,Argentina,Observacion 101,S.R.L.,Responsable Inscripto,29-01234576-10,2024-05-31,,True,Anual,120000.0,409021,Donaciones en Especies,"Donacion de mercaderia que, si se registra, debe ser a un valor en $$$ que sea correcto de acuerdo al valor de mercado"
D00102,Ayuda Empresarial S.A.,Empresa,Contacto VVVV,-,ayudaempresarials.a.@example.com,(011) 5000-0102,Buenos Aires,Argentina,Observacion 102,S.A.,Responsable Inscripto,29-01234576-11,2024-06-01,,True,Anual,150000.0,409021,Donaciones en Especies,"Donacion de mercaderia que, si se registra, debe ser a un valor en $$$ que sea correcto de acuerdo al valor de mercado"
D00103,Donativos y Mas S.R.L.,Empresa,Contacto VVVV,-,donativosymass.r.l.@example.com,(011) 5000-0103,Buenos Aires,Argentina,Observacion 103,S.R.L.,Responsable Inscripto,29-01234576-12,2024-06-02,,True,Bimestral,200000.0,409021,Donaciones en Especies,"Donacion de mercaderia que, si se registra, debe ser a un valor en $$$ que sea correcto de acuerdo al valor de mercado"
D00104,Apoyo Corporativo S.A.,Empresa,Contacto VVVV,-,apoyocorporativos.a.@example.com,(011) 5000-0104,Buenos Aires,Argentina,Observacion 104,S.A.,Responsable Inscripto,29-01234576-13,2024-06-03,,True,Bimestral,180000.0,409021,Donaciones en Especies,"Donacion de mercaderia que, si se registra, debe ser a un valor en $$$ que sea correcto de acuerdo al valor de mercado"
D00105,Fundacion Empresarial,Empresa,Contacto VVVV,-,fundacionempresarial@example.com,(011) 5000-0105,Buenos Aires,Argentina,Observacion 105,S.A.,Responsable Inscripto,29-01234576-14,2024-06-04,,True,Bimestral,220000.0,409021,Donaciones en Especies,"Donacion de mercaderia que, si se registra, debe ser a un valor en $$$ que sea correcto de acuerdo al valor de mercado"
D00106,Ministerio Desarrollo Social,Estado,Contacto VVVV,-,ministeriods@example.gov,(011) 652389745,Buenos Aires,Argentina,Observacion 106,GOB,Exento,30-0000000-25,2024-01-01,,True,Mensual,650000.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00107,Campana un Sol para todos,Campaña,Contacto VVVV,-,solparatodos@example.gov,(011) 652389746,Buenos Aires,Argentina,Observacion 107,S.A.,Exento,30-0000000-85,2024-02-02,,True,Anual,780000.0,403101,Donaciones Personales no recurrentes,varios
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,183574.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,714947.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,249584.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,730842.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,280468.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,166865.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,655577.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,686866.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,492556.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,470537.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,143318.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,387405.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,748110.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,606837.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,732998.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,433172.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,65198.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,505685.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,547634.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,662880.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,257499.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,567511.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,78589.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,778799.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,402281.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,368134.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,238802.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,739084.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,+54 5263-2378,Buenos Aires,Argentina,Observacion A,S.A.,Exento,24-56588769-6,2019-08-09,,True,Bimestral,578868.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
