numero,nombre,tipo,contacto,cargo,correo electronico,telefono,ciudad,pais,observaciones,razon social,tipo de contribuyente,cuit,alta,baja,activo,frecuencia,importe,nro de cuenta,nombre de cuenta,descripcion
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,Rio de Janeiro,Brasil,Observacion D,S.A.S.,Monotributista,24-91224120-6,2022-10-04,2021-05-05,False,Bimestral,281342.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,Rio de Janeiro,Brasil,Observacion D,S.A.S.,Monotributista,24-91224120-6,2022-10-04,2021-05-05,False,Bimestral,383818.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,Rio de Janeiro,Brasil,Observacion D,S.A.S.,Monotributista,24-91224120-6,2022-10-04,2021-05-05,False,Bimestral,217763.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,Rio de Janeiro,Brasil,Observacion D,S.A.S.,Monotributista,24-91224120-6,2022-10-04,2021-05-05,False,Bimestral,424093.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,Rio de Janeiro,Brasil,Observacion D,S.A.S.,Monotributista,24-91224120-6,2022-10-04,2021-05-05,False,Bimestral,191399.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,Rio de Janeiro,Brasil,Observacion D,S.A.S.,Monotributista,24-91224120-6,2022-10-04,2021-05-05,False,Bimestral,390950.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,Rio de Janeiro,Brasil,Observacion D,S.A.S.,Monotributista,24-91224120-6,2022-10-04,2021-05-05,False,Bimestral,797809.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,Rio de Janeiro,Brasil,Observacion D,S.A.S.,Monotributista,24-91224120-6,2022-10-04,2021-05-05,False,Bimestral,596040.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,Rio de Janeiro,Brasil,Observacion D,S.A.S.,Monotributista,24-91224120-6,2022-10-04,2021-05-05,False,Bimestral,683505.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,Rio de Janeiro,Brasil,Observacion D,S.A.S.,Monotributista,24-91224120-6,2022-10-04,2021-05-05,False,Bimestral,627181.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,Rio de Janeiro,Brasil,Observacion D,S.A.S.,Monotributista,24-91224120-6,2022-10-04,2021-05-05,False,Bimestral,659415.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,+55 5747-7433,Rio de Janeiro,Brasil,Observacion D,S.A.S.,Monotributista,24-91224120-6,2022-10-04,2021-05-05,False,Bimestral,758508.0,404100,Ingresos Estado,"Subsidios Cargas Sociales, Programas Estatales, Becas Estatales, etc"
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,101418.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,153871.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,141673.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,130672.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,195011.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,199470.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,196540.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,167308.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,194895.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,157365.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,156809.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,168805.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,175721.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Asuncion,Paraguay,Observacion 175,S.A.,Responsable Inscripto,29-01265476-14,2020-05-02,2024-07-01,False,Trimestral,129491.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,+598 5550-9219,Montevideo,Uruguay,-,GOB,Exento,27-75193456-1,2020-01-21,2021-01-22,False,Mensual,193728.0,405100,Ingresos Servicios,"Servicios Sociales, Asistencia Tecnica, Educacion, Matriculas, etc"
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,+598 5550-9219,Montevideo,Uruguay,-,GOB,Exento,27-75193456-1,2020-01-21,2021-01-22,False,Mensual,139844.0,405100,Ingresos Servicios,"Servicios Sociales, Asistencia Tecnica, Educacion, Matriculas, etc"
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,+598 5550-9219,Montevideo,Uruguay,-,GOB,Exento,27-75193456-1,2020-01-21,2021-01-22,False,Mensual,45549.0,405100,Ingresos Servicios,"Servicios Sociales, Asistencia Tecnica, Educacion, Matriculas, etc"
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,+598 5550-9219,Montevideo,Uruguay,-,GOB,Exento,27-75193456-1,2020-01-21,2021-01-22,False,Mensual,87788.0,405100,Ingresos Servicios,"Servicios Sociales, Asistencia Tecnica, Educacion, Matriculas, etc"
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,+598 5550-9219,Montevideo,Uruguay,-,GOB,Exento,27-75193456-1,2020-01-21,2021-01-22,False,Mensual,57471.0,405100,Ingresos Servicios,"Servicios Sociales, Asistencia Tecnica, Educacion, Matriculas, etc"
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,+598 5550-9219,Montevideo,Uruguay,-,GOB,Exento,27-75193456-1,2020-01-21,2021-01-22,False,Mensual,40464.0,405100,Ingresos Servicios,"Servicios Sociales, Asistencia Tecnica, Educacion, Matriculas, etc"
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,+598 5550-9219,Montevideo,Uruguay,-,GOB,Exento,27-75193456-1,2020-01-21,2021-01-22,False,Mensual,190604.0,405100,Ingresos Servicios,"Servicios Sociales, Asistencia Tecnica, Educacion, Matriculas, etc"
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,+598 5550-9219,Montevideo,Uruguay,-,GOB,Exento,27-75193456-1,2020-01-21,2021-01-22,False,Mensual,197183.0,405100,Ingresos Servicios,"Servicios Sociales, Asistencia Tecnica, Educacion, Matriculas, etc"
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,+598 5550-9219,Montevideo,Uruguay,-,GOB,Exento,27-75193456-1,2020-01-21,2021-01-22,False,Mensual,46112.0,405100,Ingresos Servicios,"Servicios Sociales, Asistencia Tecnica, Educacion, Matriculas, etc"
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,+598 5550-9219,Montevideo,Uruguay,-,GOB,Exento,27-75193456-1,2020-01-21,2021-01-22,False,Mensual,132359.0,405100,Ingresos Servicios,"Servicios Sociales, Asistencia Tecnica, Educacion, Matriculas, etc"
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,+598 5550-9219,Montevideo,Uruguay,-,GOB,Exento,27-75193456-1,2020-01-21,2021-01-22,False,Mensual,180459.0,405100,Ingresos Servicios,"Servicios Sociales, Asistencia Tecnica, Educacion, Matriculas, etc"
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,+598 5550-9219,Montevideo,Uruguay,-,GOB,Exento,27-75193456-1,2020-01-21,2021-01-22,False,Mensual,113088.0,405100,Ingresos Servicios,"Servicios Sociales, Asistencia Tecnica, Educacion, Matriculas, etc"
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,387885.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,540813.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,274968.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,276867.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,460149.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,247913.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,565616.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,219966.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,264022.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,354871.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,244865.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,325793.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,399685.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,486131.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,455211.0,403103,Ingresos Bonos Contribucion,Para fines generales
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,+598 5550-9221,Montevideo,Uruguay,Observacion OA,S.A.,Responsable Inscripto,21-38712356-4,2020-01-24,2024-02-02,False,Mensual,334904.0,403103,Ingresos Bonos Contribucion,Para fines generales
