numero proveedor,nombre proveedor,cuit,categoria proveedor,tipo de contribuyente,observaciones,contacto,correo electronico,telefono,razon social,importe,fecha,nro_cuenta,ciudad,pais,nombre de cuenta,descripcion,mes
P00068,Roberto Morales,30-32165489-9,Agente Impositivo,Monotributista,-,Roberto Morales,roberto.morales@correo.com,8901-2345,S.R.L.,84567.0,2024-03-27,514100,Buenos Aires,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00067,Estudio Juridico S.A.,30-19283752-8,Materiales,Responsable Inscripto,-,Estudio Juridico,estudio.juridico@correo.com,7890-1234,S.A.,15039.0,2024-05-13,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00066, Marta Lopez,30-86430981-7,Servicios,Monotributista,-,Marta Lopez,marta.lopez@correo.com,6789-0123,S.R.L.,158588.0,2024-03-13,506100,La Plata,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",marzo
P00065, Servicios Beta,30-97531250-6,Materiales,Responsable Inscripto,-,Laura Gomez,laura.gomez@empresa.com,5678-9012,S.A.,45663.0,2024-01-05,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",enero
P00064,Consultora S.A.S.,30-24681362-5,Servicios,Monotributista,-,Consultora S.A.S.,consultora@correo.com,4567-8901,S.R.L.,146153.0,2024-02-29,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00063,Grupo SRL,30-13579249-4,Agente Impositivo,Responsable Inscripto,-,Grupo SRL,grupo.srl@empresa.com,3456-7890,S.R.L.,112835.0,2024-02-22,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00062,Ana Gomez,30-98765435-3,Materiales,Monotributista,-,Ana Gomez,ana.gomez@correo.com,2345-6789,S.R.L.,188554.0,2024-06-17,514100,Buenos Aires,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00061,Servicios Zeta S.A.,30-45678906-2,Servicios,Responsable Inscripto,-,Servicios Zeta,servicios.zeta@empresa.com,AR1234-5678,S.A.,153273.0,2024-02-14,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",febrero
P00060,Roberto Perez,30-32165488-1,Agente Impositivo,Monotributista,-,Roberto Perez,roberto.perez@correo.com,0123-4567,S.R.L.,85688.0,2024-01-06,506100,La Plata,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",enero
P00060,Roberto Perez,30-32165488-1,Agente Impositivo,Monotributista,-,Roberto Perez,roberto.perez@correo.com,0123-4567,S.R.L.,24035.0,2024-02-27,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00059, Proveedores SRL,30-19283751-0,Servicios,Responsable Inscripto,-,Proveedores SRL,proveedores.srl@empresa.com,9012-3456,S.R.L.,117707.0,2024-01-29,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00058,Alejandro Martinez,30-86430980-9,Servicios,Monotributista,-,Alejandro Martinez,alejandro.martinez@correo.com,8901-2345,S.R.L.,144695.0,2024-02-19,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00057,Consultora Beta,30-13579248-8,Agente Impositivo,Responsable Inscripto,-,Consultora Beta,consultora.beta@empresa.com,7890-1234,S.A.,51264.0,2024-04-12,514100,Buenos Aires,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",abril
P00056,Repuestos S.A.,30-97531249-7,Materiales,Monotributista,-,Roberto Diaz,roberto.diaz@correo.com,6789-0123,S.R.L.,71853.0,2024-05-02,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00054,Claudia Ruiz,30-87654322-5,Materiales,Monotributista,-,Claudia Ruiz,claudia.ruiz@empresa.com,4567-8901,S.R.L.,40126.0,2024-01-08,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",enero
P00052,Pedro Sanchez,30-98765434-4,Agente Impositivo,Monotributista,-,Pedro Sanchez,pedro.sanchez@correo.com,2345-6789,S.R.L.,153937.0,2024-02-18,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00051,Gabriela Morales,30-45678905-3,Materiales,Responsable Inscripto,-,Gabriela Morales,gabriela.morales@correo.com,AR1234-5678,S.A.,142460.0,2024-03-17,514100,Buenos Aires,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00050,Servicios Zeta,30-32165499-2,Servicios,Monotributista,-,Servicios Zeta,servicios.zeta@empresa.com,0123-4567,S.R.L.,184371.0,2024-01-04,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00049,Mariana Garcia,30-19283750-1,Agente Impositivo,Responsable Inscripto,-,Mariana Garcia,mariana.garcia@correo.com,9012-3456,S.A.,43426.0,2024-02-23,506100,La Plata,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",febrero
P00047,Servicios SRL,30-97531246-9,Servicios,Responsable Inscripto,-,Servicios SRL,servicios.srl@empresa.com,7890-1234,S.R.L.,238252.0,2024-05-01,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",mayo
P00046,Pedro Ruiz,30-24681361-8,Agente Impositivo,Responsable Inscripto,-,Pedro Ruiz,pedro.ruiz@correo.com,6789-0123,S.R.L.,204022.0,2024-01-26,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00045,Compania Zeta,30-13579247-7,Materiales,Monotributista,-,Gabriela Torres,gabriela.torres@empresa.com,5678-9012,S.A.,121389.0,2024-06-29,514100,La Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00044,Grupo Beta,30-87654322-6,Servicios,Responsable Inscripto,-,Maria Rodriguez,maria.rodriguez@correo.com,4567-8901,S.R.L.,108214.0,2024-03-20,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00043,Ricardo Garcia,30-12345679-5,Agente Impositivo,Monotributista,-,Ricardo Garcia,ricardo.garcia@empresa.com,3456-7890,S.A.,42905.0,2024-04-15,506100,La Plata,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",abril
P00042,Gabriela Lopez,30-98765433-4,Materiales,Responsable Inscripto,-, Gabriela Lopez,gabriela.lopez@correo.com,2345-6789,S.R.L.,203310.0,2024-02-14,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00041,Proveedora SRL,30-45678904-3,Servicios,Monotributista,-,Proveedora SRL,proveedora.srl@empresa.com,1234-5678,S.R.L.,216059.0,2024-01-19,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00040,Javier Martinez,30-32165488-2,Materiales,Responsable Inscripto,-,Javier Martinez,javier.martinez@correo.com,0123-4567,S.R.L.,152989.0,2024-03-18,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00039, Estudio Zeta,30-19283749-1,Agente Impositivo,Responsable Inscripto,-,Estudio Zeta,estudio.zeta@correo.com,9012-3456,S.A.,201108.0,2024-03-23,514100,La Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00038,Laura Fernandez,30-86430978-0,Servicios,Monotributista,-,Laura Fernandez,laura.fernandez@empresa.com,AR8901-2345,S.R.L.,10164.0,2024-06-02,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",junio
P00036,Consultora S.A.,30-24681360-8,Servicios,Responsable Inscripto,-,Marcela Martinez,marcela.martinez@empresa.com,6789-0123,S.R.L.,83555.0,2024-01-04,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",enero
P00035, Victor Perez,30-13579246-7,Servicios,Monotributista,-,Victor Perez,victor.perez@correo.com,5678-9012,S.A.,212855.0,2024-05-18,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",mayo
P00034,Empresas SRL,30-87654321-1,Materiales,Responsable Inscripto,-,Ana Lopez,ana.lopez@empresa.com,4567-8901,S.R.L.,46612.0,2024-03-02,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00033,Servicios & Co.,30-12345679-0,Servicios,Monotributista,-,Gabriela Sanchez,gabriela.sanchez@correo.com,3456-7890,S.A.,32000.0,2024-01-29,514100,La Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",enero
P00033,Servicios & Co.,30-12345679-0,Servicios,Monotributista,-,Gabriela Sanchez,gabriela.sanchez@correo.com,3456-7890,S.A.,150420.0,2024-03-29,514100,La Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00032,Repuestos Zeta,30-98765430-5,Agente Impositivo,Responsable Inscripto,-,Roberto Ruiz,roberto.ruiz@empresa.com,2345-6789,S.R.L.,156568.0,2024-01-01,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00031,Maria Gomez,30-45678903-4,Materiales,Monotributista,-,Maria Gomez,maria.gomez@correo.com,1234-5678,S.A.,209204.0,2024-01-20,506100,La Plata,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",enero
P00029,Grupo Omega,30-19283748-2,Servicios,Monotributista,-,Laura Fernandez,laura.fernandez@correo.com,9012-3456,S.A.,217766.0,2024-03-12,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",marzo
P00028,Andres Martinez,30-86430977-1,Materiales,Responsable Inscripto,-,Andres Martinez,andres.martinez@correo.com,8901-2345,S.R.L.,220966.0,2024-03-25,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00027,Compania Zeta,30-97531248-0,Servicios,Responsable Inscripto,-, Ana Garcia,ana.garcia@empresa.com,7890-1234,S.A.,24710.0,2024-02-29,514100,La Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",febrero
P00026,Carlos Lopez,30-24681359-9,Materiales,Monotributista,-,Carlos Lopez,carlos.lopez@correo.com,6789-0123,S.R.L.,92650.0,2024-01-09,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00025,Servicios Delta,30-13579249-8,Agente Impositivo,Responsable Inscripto,-,Sergio Garcia,sergio.garcia@empresa.com,5678-9012,S.A.,231991.0,2024-05-30,506100,La Plata,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",mayo
P00024,Mariana Rodriguez,30-87654330-7,Servicios,Monotributista,-,Mariana Rodriguez,mariana.rodriguez@correo.com,4567-8901,S.R.L.,246479.0,2024-03-11,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",marzo
P00023, Inversiones Sigma,30-12345670-6,Servicios,Responsable Inscripto,-,Carlos Jimenez,carlos.jimenez@empresa.com,3456-7890,S.A.,128799.0,2024-01-12,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00022,Roberto Morales,30-98765431-5,Agente Impositivo,Responsable Inscripto,-,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,229012.0,2024-06-10,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",junio
P00022,Roberto Morales,30-98765431-5,Agente Impositivo,Responsable Inscripto,-,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,165406.0,2024-02-27,514100,La Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",febrero
P00021,Distribuciones ABC,30-65432199-4,Servicios,Monotributista,-,Francisco Gomez,francisco.gomez@correo.com,1234-5678,S.A.,122880.0,2024-05-06,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00020,Juegos del Norte,30-45678902-3,Materiales,Responsable Inscripto,-,Pablo Fernandez,pablo.fernandez@empresa.com,0123-4567,S.R.L.,122127.0,2024-03-17,506100,La Plata,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",marzo
P00019,Ana Lopez,30-32165498-1,Servicios,Responsable Inscripto,-,Ana Lopez,ana.lopez@correo.com,9012-3456,S.A.,128838.0,2024-04-06,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",abril
P00018,Consultora Zeta,30-19283747-0,Servicios,Responsable Inscripto,-, Laura Sanchez,laura.sanchez@empresa.com,8901-2345,S.R.L.,62378.0,2024-01-03,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",enero
P00017,Julio Fernandez,30-86430976-9,Materiales,Monotributista,-,Julio Fernandez,julio.fernandez@correo.com,7890-1234,S.A.,121086.0,2024-05-01,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoracion sede, busqueda y despido personal, multas, otros gastos, etc",mayo
P00016,Marketing Global,30-97531247-8,Servicios,Responsable Inscripto,-,Gabriela Gomez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,234752.0,2024-04-09,514100,Neuquen,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",abril
P00015,Rosa Perez,30-24681358-6,Agente Impositivo,Responsable Inscripto,-,Rosa Perez,rosa.perez@correo.com,5678-9012,S.A.,115620.0,2024-05-24,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00014,Estudio Juridico Alfa,30-13579248-7,Materiales,Responsable Inscripto,-,Maria Hernandez,maria.hernandez@correo.com,4567-8901,S.R.L.,78723.0,2024-01-15,506100,San Juan,Argentina,Insumos Pedagogicos,"Material didactico, laboratorio, deportivo, artistico, libros, revistas y subscripciones",enero
P00013,Repuestos Omega,30-45678901-2,Servicios,Monotributista,-, Sergio Castro,sergio.castro@correo.com,3456-7890,S.A.,165070.0,2024-04-14,503100,Santa Fe,Argentina,Alimentacion,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",abril
P00012,Proveedor Ltda.,30-32165487-0,Servicios,Responsable Inscripto,-,Natalia Gomez,natalia.gomez@empresa.com,2345-6789,S.R.L.,29110.0,2024-04-09,501400,Buenos Aires,Argentina,Honorarios Asesoria General,"Gestion, Comunicacion Institucional, Voluntariado, Desarrollo de Fondos",abril
P00010,Soluciones Gama,30-98765432-1,Servicios,Responsable Inscripto,-,Javier Martinez,javier.martinez@empresa.com,0123-4567,S.R.L.,28033.0,2024-01-28,514100,Mar del Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",enero
