Número Proveedor,Nombre Proveedor,CUIT,Categoría Proveedor,Tipo de Contribuyente,Observaciones,Contacto,Correo Electrónico,Teléfono,Razón Social,Importe,Fecha,Nro_Cuenta,Ciudad,Pais,Nombre de Cuenta,Descripción,Mes
P00072,Estudio Consultores,30-24681363-3,Servicios,MONOTRIBUTISTA,,Estudio Consultores,estudio.consultores@empresa.com,2345-6789,S.R.L.,"$39.168,00",6/2/2024,506100,La Plata,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",febrero
P00071,Servicios Gamma,30-13579250-2,Agente Impositivo,RESPONSABLE INSCRIPTO,,Servicios Gamma,servicios.gamma@correo.com,1234-5678,S.A.,"$202.261,00",3/3/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",marzo
P00070,Mariana López,30-98765436-1,Servicios,MONOTRIBUTISTA,,Mariana López,mariana.lopez@correo.com,0123-4567,S.R.L.,"$66.873,00",11/3/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",marzo
P00069,Proveedores Beta,30-45678907-0,Servicios,RESPONSABLE INSCRIPTO,,Proveedores Beta,proveedores.beta@empresa.com,9012-3456,S.A.,"$123.157,00",21/6/2024,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",junio
P00068,Roberto Morales,30-32165489-9,Agente Impositivo,MONOTRIBUTISTA,,Roberto Morales,roberto.morales@correo.com,8901-2345,S.R.L.,"$84.567,00",27/3/2024,514100,Buenos Aires,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00067,Estudio Jurídico S.A.,30-19283752-8,Materiales,RESPONSABLE INSCRIPTO,,Estudio Jurídico,estudio.juridico@correo.com,7890-1234,S.A.,"$15.039,00",13/5/2024,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00066, Marta López,30-86430981-7,Servicios,MONOTRIBUTISTA,,Marta López,marta.lopez@correo.com,6789-0123,S.R.L.,"$158.588,00",13/3/2024,506100,La Plata,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",marzo
P00065, Servicios Beta,30-97531250-6,Materiales,RESPONSABLE INSCRIPTO,,Laura Gómez,laura.gomez@empresa.com,5678-9012,S.A.,"$45.663,00",5/1/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",enero
P00064,Consultora S.A.S.,30-24681362-5,Servicios,MONOTRIBUTISTA,,Consultora S.A.S.,consultora@correo.com,4567-8901,S.R.L.,"$146.153,00",29/2/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",febrero
P00063,Grupo SRL,30-13579249-4,Agente Impositivo,RESPONSABLE INSCRIPTO,,Grupo SRL,grupo.srl@empresa.com,3456-7890,S.R.L.,"$112.835,00",22/2/2024,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00062,Ana Gómez,30-98765435-3,Materiales,MONOTRIBUTISTA,,Ana Gómez,ana.gomez@correo.com,2345-6789,S.R.L.,"$188.554,00",17/6/2024,514100,Buenos Aires,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00061,Servicios Zeta S.A.,30-45678906-2,Servicios,RESPONSABLE INSCRIPTO,,Servicios Zeta,servicios.zeta@empresa.com,AR1234-5678,S.A.,"$153.273,00",14/2/2024,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",febrero
P00060,Roberto Pérez,30-32165488-1,Agente Impositivo,MONOTRIBUTISTA,,Roberto Pérez,roberto.perez@correo.com,0123-4567,S.R.L.,"$85.688,00",6/1/2024,506100,La Plata,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",enero
P00060,Roberto Pérez,30-32165488-1,Agente Impositivo,MONOTRIBUTISTA,,Roberto Pérez,roberto.perez@correo.com,0123-4567,S.R.L.,"$24.035,00",27/2/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00059, Proveedores SRL,30-19283751-0,Servicios,RESPONSABLE INSCRIPTO,,Proveedores SRL,proveedores.srl@empresa.com,9012-3456,S.R.L.,"$117.707,00",29/1/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00058,Alejandro Martínez,30-86430980-9,Servicios,MONOTRIBUTISTA,,Alejandro Martínez,alejandro.martinez@correo.com,8901-2345,S.R.L.,"$144.695,00",19/2/2024,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00057,Consultora Beta,30-13579248-8,Agente Impositivo,RESPONSABLE INSCRIPTO,,Consultora Beta,consultora.beta@empresa.com,7890-1234,S.A.,"$51.264,00",12/4/2024,514100,Buenos Aires,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",abril
P00056,Repuestos S.A.,30-97531249-7,Materiales,MONOTRIBUTISTA,,Roberto Díaz,roberto.diaz@correo.com,6789-0123,S.R.L.,"$71.853,00",2/5/2024,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00054,Claudia Ruiz,30-87654322-5,Materiales,MONOTRIBUTISTA,,Claudia Ruiz,claudia.ruiz@empresa.com,4567-8901,S.R.L.,"$40.126,00",8/1/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",enero
P00052,Pedro Sánchez,30-98765434-4,Agente Impositivo,MONOTRIBUTISTA,,Pedro Sánchez,pedro.sanchez@correo.com,2345-6789,S.R.L.,"$153.937,00",18/2/2024,516000,Santiago del Estero,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",febrero
P00051,Gabriela Morales,30-45678905-3,Materiales,RESPONSABLE INSCRIPTO,,Gabriela Morales,gabriela.morales@correo.com,AR1234-5678,S.A.,"$142.460,00",17/3/2024,514100,Buenos Aires,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00050,Servicios Zeta,30-32165499-2,Servicios,MONOTRIBUTISTA,,Servicios Zeta,servicios.zeta@empresa.com,0123-4567,S.R.L.,"$184.371,00",4/1/2024,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00049,Mariana García,30-19283750-1,Agente Impositivo,RESPONSABLE INSCRIPTO,,Mariana García,mariana.garcia@correo.com,9012-3456,S.A.,"$43.426,00",23/2/2024,506100,La Plata,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",febrero
P00047,Servicios SRL,30-97531246-9,Servicios,RESPONSABLE INSCRIPTO,,Servicios SRL,servicios.srl@empresa.com,7890-1234,S.R.L.,"$238.252,00",1/5/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",mayo
P00046,Pedro Ruiz,30-24681361-8,Agente Impositivo,RESPONSABILE INSCRIPTO,,Pedro Ruiz,pedro.ruiz@correo.com,6789-0123,S.R.L.,"$204.022,00",26/1/2024,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",enero
P00045,Compañía Zeta,30-13579247-7,Materiales,MONOTRIBUTISTA,,Gabriela Torres,gabriela.torres@empresa.com,5678-9012,S.A.,"$121.389,00",29/6/2024,514100,La Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",junio
P00044,Grupo Beta,30-87654322-6,Servicios,RESPONSABLE INSCRIPTO,,María Rodríguez,maria.rodriguez@correo.com,4567-8901,S.R.L.,"$108.214,00",20/3/2024,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",marzo
P00043,Ricardo García,30-12345679-5,Agente Impositivo,MONOTRIBUTISTA,,Ricardo García,ricardo.garcia@empresa.com,3456-7890,S.A.,"$42.905,00",15/4/2024,506100,La Plata,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",abril
P00042,Gabriela López,30-98765433-4,Materiales,RESPONSABLE INSCRIPTO,, Gabriela López,gabriela.lopez@correo.com,2345-6789,S.R.L.,"$203.310,00",14/2/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",febrero
P00041,Proveedora SRL,30-45678904-3,Servicios,MONOTRIBUTISTA,,Proveedora SRL,proveedora.srl@empresa.com,1234-5678,S.R.L.,"$216.059,00",19/1/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00040,Javier Martínez,30-32165488-2,Materiales,RESPONSABLE INSCRIPTO,,Javier Martínez,javier.martinez@correo.com,0123-4567,S.R.L.,"$152.989,00",18/3/2024,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00039, Estudio Zeta,30-19283749-1,Agente Impositivo,RESPONSABLE INSCRIPTO,,Estudio Zeta,estudio.zeta@correo.com,9012-3456,S.A.,"$201.108,00",23/3/2024,514100,La Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00038,Laura Fernández,30-86430978-0,Servicios,MONOTRIBUTISTA,,Laura Fernández,laura.fernandez@empresa.com,AR8901-2345,S.R.L.,"$10.164,00",2/6/2024,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",junio
P00036,Consultora S.A.,30-24681360-8,Servicios,RESPONSABLE INSCRIPTO,,Marcela Martínez,marcela.martinez@empresa.com,6789-0123,S.R.L.,"$83.555,00",4/1/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",enero
P00035, Victor Pérez,30-13579246-7,Servicios,MONOTRIBUTISTA,,Victor Pérez,victor.perez@correo.com,5678-9012,S.A.,"$212.855,00",18/5/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",mayo
P00034,Empresas SRL,30-87654321-1,Materiales,RESPONSABLE INSCRIPTO,,Ana López,ana.lopez@empresa.com,4567-8901,S.R.L.,"$46.612,00",2/3/2024,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00033,Servicios & Co.,30-12345679-0,Servicios,MONOTRIBUTISTA,,Gabriela Sánchez,gabriela.sanchez@correo.com,3456-7890,S.A.,"$32.000,00",29/1/2024,514100,La Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",enero
P00033,Servicios & Co.,30-12345679-0,Servicios,MONOTRIBUTISTA,,Gabriela Sánchez,gabriela.sanchez@correo.com,3456-7890,S.A.,"$150.420,00",29/3/2024,514100,La Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",marzo
P00032,Repuestos Zeta,30-98765430-5,Agente Impositivo,RESPONSABLE INSCRIPTO,,Roberto Ruiz,roberto.ruiz@empresa.com,2345-6789,S.R.L.,"$156.568,00",1/1/2024,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00031,María Gómez,30-45678903-4,Materiales,MONOTRIBUTISTA,,María Gómez,maria.gomez@correo.com,1234-5678,S.A.,"$209.204,00",20/1/2024,506100,La Plata,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",enero
P00029,Grupo Omega,30-19283748-2,Servicios,MONOTRIBUTISTA,,Laura Fernández,laura.fernandez@correo.com,9012-3456,S.A.,"$217.766,00",12/3/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",marzo
P00028,Andrés Martínez,30-86430977-1,Materiales,RESPONSABILE INSCRIPTO,,Andrés Martínez,andres.martinez@correo.com,8901-2345,S.R.L.,"$220.966,00",25/3/2024,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",marzo
P00027,Compañía Zeta,30-97531248-0,Servicios,RESPONSABLE INSCRIPTO,, Ana García,ana.garcia@empresa.com,7890-1234,S.A.,"$24.710,00",29/2/2024,514100,La Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",febrero
P00026,Carlos López,30-24681359-9,Materiales,MONOTRIBUTISTA,,Carlos López,carlos.lopez@correo.com,6789-0123,S.R.L.,"$92.650,00",9/1/2024,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",enero
P00025,Servicios Delta,30-13579249-8,Agente Impositivo,RESPONSABLE INSCRIPTO,,Sergio García,sergio.garcia@empresa.com,5678-9012,S.A.,"$231.991,00",30/5/2024,506100,La Plata,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",mayo
P00024,Mariana Rodríguez,30-87654330-7,Servicios,MONOTRIBUTISTA,,Mariana Rodríguez,mariana.rodriguez@correo.com,4567-8901,S.R.L.,"$246.479,00",11/3/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",marzo
P00023, Inversiones Sigma,30-12345670-6,Servicios,RESPONSABILE INSCRIPTO,,Carlos Jiménez,carlos.jimenez@empresa.com,3456-7890,S.A.,"$128.799,00",12/1/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
P00022,Roberto Morales,30-98765431-5,Agente Impositivo,RESPONSABLE INSCRIPTO,,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,"$229.012,00",10/6/2024,516000,Chaco,Argentina,Gastos varios,"Celulares, capacitacion equipo interno, uniformes, delantales, decoración sede, busqueda y despido personal, multas, otros gastos, etc",junio
P00022,Roberto Morales,30-98765431-5,Agente Impositivo,RESPONSABLE INSCRIPTO,,Roberto Morales,roberto.morales@correo.com,2345-6789,S.R.L.,"$165.406,00",27/2/2024,514100,La Plata,Argentina,Institucionales varios,"Desarrollo y material, reconocimiento, publicidad, promocion, telemarketing, internet, hosting, membrecias, herramientas digitales, etc",febrero
P00021,Distribuciones ABC,30-65432199-4,Servicios,MONOTRIBUTISTA,,Francisco Gómez,francisco.gomez@correo.com,1234-5678,S.A.,"$122.880,00",6/5/2024,509100,Buenos Aires,Argentina,Servicios Soporte,"Reparaciones, mantenimiento, insumos y servivios de limpieza, matafuegos, jardineria, seguridad, alarmas, vigilancia, etc",mayo
P00020,Juegos del Norte,30-45678902-3,Materiales,RESPONSABLE INSCRIPTO,,Pablo Fernández,pablo.fernandez@empresa.com,0123-4567,S.R.L.,"$122.127,00",17/3/2024,506100,La Plata,Argentina,Insumos Pedagógicos,"Material didáctico, laboratorio, deportivo, artístico, libros, revistas y subscripciones",marzo
P00019,Ana López,30-32165498-1,Servicios,RESPONSABILE INSCRIPTO,,Ana López,ana.lopez@correo.com,9012-3456,S.A.,"$128.838,00",6/4/2024,503100,Santa Fe,Argentina,Alimentación,"Comida protagonistas, bolsones comida, leche, suplemento nutricional, etc",abril
P00018,Consultora Zeta,30-19283747-0,Servicios,RESPONSABLE INSCRIPTO,, Laura Sánchez,laura.sanchez@empresa.com,8901-2345,S.R.L.,"$62.378,00",3/1/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,"Gestión, Comunicación Institucional, Voluntariado, Desarrollo de Fondos",enero
