Número,Nombre,Tipo,Contacto,Cargo,Correo Electrónico,Teléfono,Ciudad,Pais,Observaciones,Razon Social,Tipo de Contribuyente,CUIT,Alta,Baja,Activo,Frecuencia,Importe,Nro de Cuenta,Nombre de Cuenta,Descripción
D00011,Zenith Digital,Empresa,Contacto K,-,zenithdigital@example.com,(011) 5000-0011,Buenos Aires,Argentina,Observación 11,S.R.L,Responsable Inscripto,20-12345679-0,16/3/2024,1/4/2024,NO,Bimestral,"$152.834,00",403101,Donaciones Personales no recurrentes,
D00012,CreaTech S.R.L.,Empresa,Contacto L,-,createchs.r.l.@example.com,(011) 5000-0012,Buenos Aires,Argentina,Observación 12,S.R.L,Monotributista,21-23456780-1,15/4/2024,,SI,Anual,"$175.310,00",403101,Donaciones Personales no recurrentes,
D00013,Alfa Innovaciones,Empresa,Contacto M,-,alfainnovaciones@example.com,(011) 5000-0013,Buenos Aires,Argentina,Observación 13,S.R.L,Responsable Inscripto,22-34567891-2,4/2/2024,1/4/2024,NO,Mensual,"$417.633,00",402101,Ingresos Institucionales mensuales,
D00013,Alfa Innovaciones,Empresa,Contacto M,-,alfainnovaciones@example.com,(011) 5000-0013,Buenos Aires,Argentina,Observación 13,S.R.L,Responsable Inscripto,22-34567891-2,4/2/2024,1/4/2024,NO,Mensual,"$169.763,00",402101,Ingresos Institucionales mensuales,
D00014,ServiNet,Empresa,Contacto N,-,servinet@example.com,(011) 5000-0014,Buenos Aires,Argentina,Observación 14,S.A,Monotributista,23-45678902-3,5/6/2024,,SI,Bimestral,"$244.263,00",403101,Donaciones Personales no recurrentes,
D00015,AeroPlus,Empresa,Contacto O,-,aeroplus@example,(011) 5000-0015,Buenos Aires,Argentina,Observación 15,S.A,Responsable Inscripto,24-56789013-4,23/3/2024,1/4/2024,NO,Anual,"$109.935,00",403101,Donaciones Personales no recurrentes,
D00016,MaxiData,Empresa,Contacto P,-,maxidata@example.com,(011) 5000-0016,Buenos Aires,Argentina,Observación 16,,Monotributista,25-67890124-5,7/4/2024,,SI,Mensual,"$483.186,00",402101,Ingresos Institucionales mensuales,
D00017,EcoAventura,Empresa,Contacto Q,-,ecoaventura@example.com,(011) 5000-0017,Buenos Aires,Argentina,Observación 17,S.A,Responsable Inscripto,26-78901235-6,29/3/2024,1/4/2024,NO,Bimestral,"$349.289,00",403101,Donaciones Personales no recurrentes,
D00018,Sigma Consulting,Empresa,Contacto R,-,sigmaconsulting@example.com,(011) 5000-0018,Buenos Aires,Argentina,Observación 18,S.A,Monotributista,27-89012346-7,30/3/2024,,SI,Anual,"$191.824,00",403101,Donaciones Personales no recurrentes,
D00019,Soluciones Avanzadas,Empresa,Contacto S,-,solucionesavanzadas@example.com,(011) 5000-0019,Buenos Aires,Argentina,Observación 19,S.A,Responsable Inscripto,28-90123457-8,1/1/2024,1/4/2024,NO,Mensual,"$349.612,00",402101,Ingresos Institucionales mensuales,
D00020,RedSol Argentina,Empresa,Contacto T,-,redsolargentina@example.com,(011) 5000-0020,Buenos Aires,Argentina,Observación 20,S.A,Monotributista,29-01234568-9,4/3/2024,1/4/2024,NO,Bimestral,"$452.948,00",403101,Donaciones Personales no recurrentes,
D00021,Grupo Synthesis,Empresa,Contacto U,-,gruposynthesis@example.com,(011) 5000-0021,Buenos Aires,Argentina,Observación 21,S.A,Responsable Inscripto,20-12345680-1,16/4/2024,,SI,Anual,"$359.387,00",403101,Donaciones Personales no recurrentes,
D00022,DeltaElectro,Empresa,Contacto V,-,deltaelectro@example.com,(011) 5000-0022,Buenos Aires,Argentina,Observación 22,S.A,Monotributista,21-23456781-2,4/2/2024,1/4/2024,NO,Mensual,"$453.421,00",402101,Ingresos Institucionales mensuales,
D00023,SmartTech Argentina,Empresa,Contacto W,-,smarttechargentina@example.com,(011) 5000-0023,Buenos Aires,Argentina,Observación 23,S.A,Responsable Inscripto,22-34567892-3,30/5/2024,,SI,Bimestral,"$333.679,00",403101,Donaciones Personales no recurrentes,
D00024,NovaVisión,Empresa,Contacto X,-,novavision@example.com,(011) 5000-0024,Buenos Aires,Argentina,Observación 24,S.A,Monotributista,23-45678903-4,31/5/2024,,SI,Anual,"$152.261,00",403101,Donaciones Personales no recurrentes,
D00025,InfoMática S.A.,Empresa,Contacto Y,-,infomaticas.a.@example.com,(011) 5000-0025,Buenos Aires,Argentina,Observación 25,S.A,Responsable Inscripto,24-56789014-5,8/6/2024,,SI,Mensual,"$309.782,00",402101,Ingresos Institucionales mensuales,
D00026,Energía VIVA,Empresa,Contacto Z,-,energiaviva@example,(011) 5000-0026,Buenos Aires,Argentina,Observación 26,S.A,Monotributista,25-67890125-6,13/6/2024,,SI,Bimestral,"$270.140,00",403101,Donaciones Personales no recurrentes,
D00027,TransWorld,Empresa,Contacto AA,-,transworld@example.com,(011) 5000-0027,Buenos Aires,Argentina,Observación 27,S.A,Responsable Inscripto,26-78901236-7,5/6/2024,,SI,Anual,"$414.446,00",403101,Donaciones Personales no recurrentes,
D00028,Soluciones Urbanas,Empresa,Contacto BB,-,solucionesurbanas@example.com,(011) 5000-0028,Buenos Aires,Argentina,Observación 28,,Monotributista,27-89012347-8,27/1/2024,1/4/2024,NO,Mensual,"$218.575,00",402101,Ingresos Institucionales mensuales,
D00029,GlobalNet,Empresa,Contacto CC,-,globalnet@example.com,(011) 5000-0029,Buenos Aires,Argentina,Observación 29,S.R.L,Responsable Inscripto,28-90123458-9,18/6/2024,,SI,Bimestral,"$272.633,00",403101,Donaciones Personales no recurrentes,
D00030,FuturoTech,Empresa,Contacto DD,-,futurotech@example.com,(011) 5000-0030,Buenos Aires,Argentina,Observación 30,S.R.L,Monotributista,29-01234569-0,22/1/2024,1/4/2024,NO,Anual,"$445.169,00",403101,Donaciones Personales no recurrentes,
D00031,InnovarX,Empresa,Contacto EE,-,innovarx@example.com,(011) 5000-0031,Buenos Aires,Argentina,Observación 31,S.R.L,Responsable Inscripto,20-12345681-3,5/6/2024,,SI,Mensual,"$189.438,00",402101,Ingresos Institucionales mensuales,
D00032,Cobra Solutions,Empresa,Contacto FF,-,cobrasolutions@example.com,(011) 5000-0032,Buenos Aires,Argentina,Observación 32,S.R.L,Monotributista,21-23456782-4,7/5/2024,,SI,Bimestral,"$115.526,00",403101,Donaciones Personales no recurrentes,
D00033,Metrópolis S.A.,Empresa,Contacto GG,-,metropoliss.a.@example.com,(011) 5000-0033,Buenos Aires,Argentina,Observación 33,S.A,Responsable Inscripto,22-34567893-5,21/4/2024,,SI,Anual,"$154.409,00",403101,Donaciones Personales no recurrentes,
D00034,Vortex Energía,Empresa,Contacto HH,-,vortexenergia@example.com,(011) 5000-0034,Buenos Aires,Argentina,Observación 34,S.R.L,Monotributista,23-45678904-6,1/6/2024,,SI,Mensual,"$380.153,00",402101,Ingresos Institucionales mensuales,
D00035,EcoVisión,Empresa,Contacto II,-,ecovision@example.com,(011) 5000-0035,Buenos Aires,Argentina,Observación 35,S.R.L,Responsable Inscripto,24-56789015-7,13/3/2024,1/4/2024,NO,Bimestral,"$398.095,00",403101,Donaciones Personales no recurrentes,
D00036,NexuTech,Empresa,Contacto JJ,-,nexutech@example.com,(011) 5000-0036,Buenos Aires,Argentina,Observación 36,S.R.L,Monotributista,25-67890126-8,31/3/2024,,SI,Anual,"$385.421,00",403101,Donaciones Personales no recurrentes,
D00037,AlphaSystems,Empresa,Contacto KK,-,alphasystems@example.com,(011) 5000-0037,Buenos Aires,Argentina,Observación 37,S.R.L,Responsable Inscripto,26-78901237-9,1/2/2024,1/4/2024,NO,Mensual,"$397.090,00",402101,Ingresos Institucionales mensuales,
D00038,MetroLogística,Empresa,Contacto LL,-,metrologistica@example.com,(011) 5000-0038,Buenos Aires,Argentina,Observación 38,S.R.L,Monotributista,27-89012348-0,20/5/2024,,SI,Bimestral,"$259.341,00",403101,Donaciones Personales no recurrentes,
D00039,Quantum Ventures,Empresa,Contacto MM,-,quantumventures@example.com,(011) 5000-0039,Buenos Aires,Argentina,Observación 39,S.R.L,Responsable Inscripto,28-90123459-1,28/6/2024,,SI,Anual,"$406.805,00",403101,Donaciones Personales no recurrentes,
D00040,Orion Innovaciones,Empresa,Contacto NN,-,orioninnovaciones@example.com,(011) 5000-0040,Buenos Aires,Argentina,Observación 40,S.R.L,Monotributista,29-01234570-2,27/4/2024,,SI,Mensual,"$333.954,00",402101,Ingresos Institucionales mensuales,
D00041,Jaan Pérez,Individuo,Contacto OO,Secretario,jaanperez@example.com,(011) 5000-0041,Buenos Aires,Argentina,Observación 41,-,Monotributista,20-12345682-4,29/2/2024,1/4/2024,NO,Bimestral,"$86.846,00",403101,Donaciones Personales no recurrentes,
D00042,Ana López,Individuo,Contacto PP,Analista,analopez@example.com,(011) 5000-0042,Buenos Aires,Argentina,Observación 42,-,Exento,21-23456783-5,14/6/2024,,SI,Anual,"$167.448,00",403101,Donaciones Personales no recurrentes,
D00043,Jorge Rodríguez,Individuo,Contacto QQ,Director,jorgerodriguez@example,(011) 5000-0043,Buenos Aires,Argentina,Observación 43,-,Responsable Inscripto,22-34567894-6,14/5/2024,,SI,Mensual,"$70.569,00",402102,Donaciones Personales mensuales,
D00044,Sofía Díaz,Individuo,Contacto RR,Gerente,sofiadiaz@example.com,(011) 5000-0044,Buenos Aires,Argentina,Observación 44,-,Monotributista,23-45678905-7,3/4/2024,,SI,Bimestral,"$130.021,00",403101,Donaciones Personales no recurrentes,
D00045,alejandro Torres,Individuo,Contacto SS,Cordinador,alejandrotorres@example.com,(011) 5000-0045,Buenos Aires,Argentina,Observación 45,-,Exento,24-56789016-8,12/4/2024,,SI,Anual,"$135.342,00",403101,Donaciones Personales no recurrentes,
D00046,Gabriela Ortiz,Individuo,Contacto TT,Asistente,gabrielaortiz@example.com,(011) 5000-0046,Buenos Aires,Argentina,Observación 46,-,Responsable Inscripto,25-67890127-9,15/3/2024,1/4/2024,NO,Mensual,"$55.258,00",402102,Donaciones Personales mensuales,
D00047,Sergio Rivas,Individuo,Contacto UU,Secretario,sergiorivas@example.com,(011) 5000-0047,Buenos Aires,Argentina,Observación 47,-,Monotributista,26-78901238-0,11/4/2024,,SI,Bimestral,"$104.301,00",403101,Donaciones Personales no recurrentes,
D00048,Patricia Navarro,Individuo,Contacto VV,Analista,patricianavarro@example.com,(011) 5000-0048,Buenos Aires,Argentina,Observación 48,-,Exento,27-89012349-1,2/5/2024,,SI,Anual,"$158.669,00",403101,Donaciones Personales no recurrentes,
D00049,Fernando Aguilar,Individuo,Contacto WW,Director,fernandoaguilar@example.com,(011) 5000-0049,Buenos Aires,Argentina,Observación 49,-,Responsable Inscripto,28-90123450-2,17/1/2024,,SI,Mensual,"$166.965,00",402102,Donaciones Personales mensuales,
D00050,Isabel Ríos,Individuo,Contacto XX,Gerente,isabelrios@example.com,(011) 5000-0050,Buenos Aires,Argentina,Observación 50,-,Monotributista,29-01234571-3,30/1/2024,1/4/2024,NO,Bimestral,"$151.978,00",403101,Donaciones Personales no recurrentes,
D00051,Rafael Silva,Individuo,Contacto YY,Coordinador,rafaelsilva@example.com,(011) 5000-0051,Buenos Aires,Argentina,Observación 51,-,Exento,20-12345683-6,17/4/2024,,SI,Anual,"$176.989,00",403101,Donaciones Personales no recurrentes,
D00052,Mónica León,Individuo,Contacto ZZ,Asistente,monicaleon@example.com,(011) 5000-0052,Buenos Aires,Argentina,Observación 52,-,Responsable Inscripto,21-23456784-7,4/2/2024,1/4/2024,NO,Mensual,"$102.271,00",403101,Donaciones Personales no recurrentes,
D00053,Héctor Salazar,Individuo,Contacto AAA,Secretario,hectorsalazar@example.com,(011) 5000-0053,Buenos Aires,Argentina,Observación 53,-,Monotributista,22-34567895-8,27/6/2024,,SI,Bimestral,"$154.758,00",403101,Donaciones Personales no recurrentes,
D00054,Carolina Mendoza,Individuo,Contacto BBB,Analista,carolinamendoza@example.com,(011) 5000-0054,Buenos Aires,Argentina,Observación 54,-,Exento,23-45678906-9,11/5/2024,,SI,Anual,"$55.466,00",403101,Donaciones Personales no recurrentes,
D00055,Víctor Gil,Individuo,Contacto CCC,Director,victorgil@example.com,(011) 5000-0055,Buenos Aires,Argentina,Observación 55,-,Responsable Inscripto,24-56789017-0,7/4/2024,,SI,Mensual,"$89.589,00",402102,Donaciones Personales mensuales,
D00056,Claudia Ponce,Individuo,Contacto DDD,Gerente,claudiaponce@example.com,(011) 5000-0056,Buenos Aires,Argentina,Observación 56,-,Monotributista,25-67890128-1,22/4/2024,,SI,Bimestral,"$75.404,00",403101,Donaciones Personales no recurrentes,
D00057,Mario Espinoza,Individuo,Contacto EEE,ccoordinador,marioespinoza@example.com,(011) 5000-0057,Buenos Aires,Argentina,Observación 57,-,Exento,26-78901229-2,6/2/2024,1/4/2024,NO,Anual,"$114.077,00",403101,Donaciones Personales no recurrentes,
D00058,Rosa Cárdenas,Individuo,Contacto FFF,Asistente,rosacardenas@example.com,(011) 5000-0058,Buenos Aires,Argentina,Observación 58,-,Responsable Inscripto,27-89012330-3,4/3/2024,1/4/2024,NO,Mensual,"$174.259,00",402102,Donaciones Personales mensuales,
D00059,Adolfo Cabrera,Individuo,Contacto GGG,Secretario,adolfocabrera@example.com,(011) 5000-0059,Buenos Aires,Argentina,Observación 59,-,Monotributista,28-90123461-4,17/4/2024,,SI,Bimestral,"$133.689,00",403101,Donaciones Personales no recurrentes,
D00060,Susana Muñoz,Individuo,Contacto HHH,Analista,susanamuñoz@example.com,(011) 5000-0060,Buenos Aires,Argentina,Observación 60,-,Exento,29-01234572-5,13/5/2024,,SI,Anual,"$58.351,00",403101,Donaciones Personales no recurrentes,
D00061,Felipe Rojas,Individuo,Contacto III,Director,feliperojas@example.com,(011) 5000-0061,Buenos Aires,Argentina,Observación 61,-,Responsable Inscripto,20-12345684-7,17/3/2024,1/4/2024,NO,Mensual,"$104.373,00",402102,Donaciones Personales mensuales,
D00062,Olga Vargas,Individuo,Contacto JJJ,Gerente,olgavargas@example.com,(011) 5000-0062,Buenos Aires,Argentina,Observación 62,-,Monotributista,21-23456785-8,16/5/2024,,SI,Bimestral,"$167.335,00",403101,Donaciones Personales no recurrentes,
D00063,Esteban Rosales,Individuo,Contacto KKK,Coordinador,estebanrosales@example.com,(011) 5000-0063,Buenos Aires,Argentina,Observación 63,-,Exento,22-34567896-9,29/1/2024,1/4/2024,NO,Anual,"$99.055,00",403101,Donaciones Personales no recurrentes,
D00064,Emma Paredes,Individuo,Contacto LLL,Asistente,emmaparedes@example.com,(011) 5000-0064,Buenos Aires,Argentina,Observación 64,-,Responsable Inscripto,23-45678907-0,26/6/2024,,SI,Mensual,"$60.683,00",402102,Donaciones Personales mensuales,
D00065,Joaquín Serrano,Individuo,Contacto MMM,Secretario,joaquinserrano@example.com,(011) 5000-0065,Buenos Aires,Argentina,Observación 65,-,Monotributista,24-56789018-1,9/5/2024,,SI,Bimestral,"$119.390,00",403101,Donaciones Personales no recurrentes,
D00066,Laura Márquez,Individuo,Contacto NNN,Analista,lauramarquez@example.com,(011) 5000-0066,Buenos Aires,Argentina,Observación 66,-,Exento,25-67890129-2,1/2/2024,1/4/2024,NO,Anual,"$117.232,00",403101,Donaciones Personales no recurrentes,
D00067,Damián Molina,Individuo,Contacto OOO,Director,damianmolina@example.com,(011) 5000-0067,Buenos Aires,Argentina,Observación 67,-,Responsable Inscripto,26-78901230-3,13/6/2024,,SI,Mensual,"$100.701,00",402102,Donaciones Personales mensuales,
D00068,Viviana Herrera,Individuo,Contacto PPP,Gerente,vivianaherrera@example.com,(011) 5000-0068,Buenos Aires,Argentina,Observación 68,-,Monotributista,27-89012331-4,26/1/2024,1/4/2024,NO,Bimestral,"$186.202,00",403101,Donaciones Personales no recurrentes,
D00068,Viviana Herrera,Individuo,Contacto PPP,Gerente,vivianaherrera@example.com,(011) 5000-0068,Buenos Aires,Argentina,Observación 68,-,Monotributista,27-89012331-4,26/1/2024,1/4/2024,NO,Bimestral,"$173.157,00",403101,Donaciones Personales no recurrentes,
D00069,Agustín Martínez,Individuo,Contacto QQQ,Coordinador,agustinmartinez@example,(011) 5000-0069,Buenos Aires,Argentina,Observación 69,-,Exento,28-90123462-5,17/2/2024,1/4/2024,NO,Anual,"$109.167,00",403101,Donaciones Personales no recurrentes,
D00070,Clara Torres,Individuo,Contacto RRR,Asistente,claratorres@example.com,(011) 5000-0070,Buenos Aires,Argentina,Observación 70,-,Responsable Inscripto,29-01234573-6,29/5/2024,,SI,Mensual,"$121.715,00",402102,Donaciones Personales mensuales,
D00071,Ezequiel Delgado,Individuo,Contacto SSS,Secretario,ezequieldelgado@example.com,(011) 5000-0071,Buenos Aires,Argentina,Observación 71,-,Monotributista,20-12345685-8,12/6/2024,,SI,Bimestral,"$181.679,00",403101,Donaciones Personales no recurrentes,
D00072,Pilar Ortiz,Individuo,Contacto TTT,Analista,pilarortiz@example.com,(011) 5000-0072,Buenos Aires,Argentina,Observación 72,-,Exento,21-23456786-9,24/5/2024,,SI,Anual,"$164.792,00",403101,Donaciones Personales no recurrentes,
D00073,Luciano Rivas,Individuo,Contacto UUU,Director,lucianorivas@example.com,(011) 5000-0073,Buenos Aires,Argentina,Observación 73,-,Responsable Inscripto,22-34567897-0,12/4/2024,,SI,Mensual,"$184.834,00",402102,Donaciones Personales mensuales,
D00074,Mía Morales,Individuo,Contacto VVV,Gerente,miamorales@example.com,(011) 5000-0074,Buenos Aires,Argentina,Observación 74,-,Monotributista,23-45678908-1,19/2/2024,1/4/2024,NO,Bimestral,"$173.825,00",403101,Donaciones Personales no recurrentes,
D00075,Carlos Gómez,Individuo,Contacto WWW,COORDINADOR,carlosgomez@example.com,(011) 5000-0075,Buenos Aires,Argentina,Observación 75,-,Exento,24-56789019-2,2/2/2024,1/4/2024,NO,Anual,"$166.200,00",403101,Donaciones Personales no recurrentes,
D00076,Mariana Fernández,Individuo,Contacto XXX,Asistente,marianafernandez@example.com,(011) 5000-0076,Buenos Aires,Argentina,Observación 76,-,Responsable Inscripto,25-67890130-3,18/5/2024,,SI,Mensual,"$106.340,00",402102,Donaciones Personales mensuales,
D00077,Luis Martínez,Individuo,Contacto YYY,Secretario,luismartinez@example,(011) 5000-0077,Buenos Aires,Argentina,Observación 77,-,Monotributista,26-78901231-4,20/6/2024,,SI,Bimestral,"$130.340,00",403101,Donaciones Personales no recurrentes,
D00078,Julia González,Individuo,Contacto ZZZ,Analista,juliagonzalez@example.com,(011) 5000-0078,Buenos Aires,Argentina,Observación 78,-,Exento,27-89012332-5,13/3/2024,1/4/2024,NO,Anual,"$90.786,00",403101,Donaciones Personales no recurrentes,
D00079,Ricardo López,Individuo,Contacto AAAA,Director,ricardolopez@example.com,(011) 5000-0079,Buenos Aires,Argentina,Observación 79,-,Responsable Inscripto,28-90123463-6,6/3/2024,1/4/2024,NO,Mensual,"$188.151,00",403101,Donaciones Personales no recurrentes,
D00080,Silvia Ramírez,Individuo,Contacto BBBB,Gerente,silviaramirez@example.com,(011) 5000-0080,Buenos Aires,Argentina,Observación 80,-,Monotributista,29-01234574-7,30/6/2024,,SI,Bimestral,"$136.947,00",403101,Donaciones Personales no recurrentes,
D00081,Martín Vargas,Individuo,Contacto CCCC,Coordinador,martinvargas@example.com,(011) 5000-0081,Buenos Aires,Argentina,Observación 81,-,Exento,20-12345686-0,16/2/2024,1/4/2024,NO,Anual,"$165.727,00",403101,Donaciones Personales no recurrentes,
D00082,Natalia Castro,Individuo,Contacto DDDD,Asistente,nataliacastro@example.com,(011) 5000-0082,Buenos Aires,Argentina,Observación 82,-,Responsable Inscripto,21-23456787-1,24/6/2024,,SI,Mensual,"$114.296,00",402102,Donaciones Personales mensuales,
D00083,alejandra Peña,Individuo,Contacto EEEE,Secretario,alejandrapeña@example,(011) 5000-0083,Buenos Aires,Argentina,Observación 83,-,Monotributista,22-34567898-2,15/3/2024,1/4/2024,NO,Bimestral,"$76.383,00",403101,Donaciones Personales no recurrentes,
D00084,Santiago López,Individuo,Contacto FFFF,Analista,santiagolopez@example.com,(011) 5000-0084,Buenos Aires,Argentina,Observación 84,-,Exento,23-45678909-3,18/6/2024,,SI,Anual,"$137.963,00",403101,Donaciones Personales no recurrentes,
D00085,Verónica Ruiz,Individuo,Contacto GGGG,Director,veronicaruiz@example.com,(011) 5000-0085,Buenos Aires,Argentina,Observación 85,-,Responsable Inscripto,24-56789020-4,8/2/2024,1/4/2024,NO,Mensual,"$63.095,00",402102,Donaciones Personales mensuales,
D00086,Andrés Silva,Individuo,Contacto HHHH,Gerente,andressilva@example.com,(011) 5000-0086,Buenos Aires,Argentina,Observación 86,-,Monotributista,25-67890131-5,5/4/2024,,SI,Bimestral,"$113.891,00",403101,Donaciones Personales no recurrentes,
D00087,Patricia Gómez,Individuo,Contacto IIII,Coordinador,patriciagomez@example.com,(011) 5000-0087,Buenos Aires,Argentina,Observación 87,-,Exento,26-78901232-6,22/2/2024,1/4/2024,NO,Anual,"$125.419,00",403101,Donaciones Personales no recurrentes,
D00088,Javier Morales,Individuo,Contacto JJJJ,Asistente,javiermorales@example.com,(011) 5000-0088,Buenos Aires,Argentina,Observación 88,-,Responsable Inscripto,27-89012333-7,28/6/2024,,SI,Mensual,"$121.338,00",402102,Donaciones Personales mensuales,
D00089,Liliana Romero,Individuo,Contacto KKKK,Secretario,lilianaromero@example.com,(011) 5000-0089,Buenos Aires,Argentina,Observación 89,-,Monotributista,28-90123464-8,10/6/2024,,SI,Bimestral,"$58.739,00",403101,Donaciones Personales no recurrentes,
D00090,Maximiliano Álvarez,Individuo,Contacto LLLL,Analista,maximilianoalvarez@example.com,(011) 5000-0090,Buenos Aires,Argentina,Observación 90,-,Exento,29-01234575-9,10/4/2024,,SI,Anual,"$65.020,00",403101,Donaciones Personales no recurrentes,
D00091,Elena Bravo,Individuo,Contacto MMMM,Director,elenabravo@example.com,(011) 5000-0091,Buenos Aires,Argentina,Observación 91,-,Responsable Inscripto,20-12345687-0,22/4/2024,,SI,Mensual,"$163.410,00",402102,Donaciones Personales mensuales,
D00092,Hugo Fernández,Individuo,Contacto NNNN,Gerente,hugofernandez@example.com,(011) 5000-0092,Buenos Aires,Argentina,Observación 92,-,Monotributista,21-23456788-1,9/3/2024,1/4/2024,NO,Bimestral,"$123.679,00",403101,Donaciones Personales no recurrentes,
D00093,Diana Morales,Individuo,Contacto OOOO,Coordinador,dianamorales@example.com,(011) 5000-0093,Buenos Aires,Argentina,Observación 93,-,Exento,22-34567889-2,29/1/2024,1/4/2024,NO,Anual,"$126.605,00",403101,Donaciones Personales no recurrentes,
D00094,Rodrigo Medina,Individuo,Contacto PPPP,Asistente,rodrigomedina@example.com,(011) 5000-0094,Buenos Aires,Argentina,Observación 94,-,Responsable Inscripto,23-45678990-3,2/4/2024,,SI,Mensual,"$84.706,00",403101,Donaciones Personales no recurrentes,
D00095,Margarita Jiménez,Individuo,Contacto QQQQ,Secretario,margaritajimenez@example,(011) 5000-0095,Buenos Aires,Argentina,Observación 95,-,Monotributista,24-56789001-4,22/2/2024,1/4/2024,NO,Bimestral,"$195.855,00",403101,Donaciones Personales no recurrentes,
D00096,Emilio Soto,Individuo,Contacto RRRR,Analista,emiliosoto@example.com,(011) 5000-0096,Buenos Aires,Argentina,Observación 96,-,Exento,25-67890122-5,15/4/2024,,SI,Anual,"$114.424,00",403101,Donaciones Personales no recurrentes,
D00096,Emilio Soto,Individuo,Contacto RRRR,Analista,emiliosoto@example.com,(011) 5000-0096,Buenos Aires,Argentina,Observación 96,-,Exento,25-67890122-5,15/4/2024,,SI,Anual,"$110.881,00",403101,Donaciones Personales no recurrentes,
D00096,Emilio Soto,Individuo,Contacto RRRR,Analista,emiliosoto@example.com,(011) 5000-0096,Buenos Aires,Argentina,Observación 96,-,Exento,25-67890122-5,15/4/2024,,SI,Anual,"$57.867,00",403101,Donaciones Personales no recurrentes,
D00097,Rocío Cabrera,Individuo,Contacto SSSS,Director,rociocabrera@example.com,(011) 5000-0097,Buenos Aires,Argentina,Observación 97,-,Responsable Inscripto,26-78901233-6,28/5/2024,,SI,Mensual,"$139.723,00",402102,Donaciones Personales mensuales,
D00098,Pablo Fernández,Individuo,Contacto TTTT,Gerente,pablofernandez@example.com,(011) 5000-0098,Buenos Aires,Argentina,Observación 98,-,Monotributista,27-89012344-7,5/5/2024,,SI,Bimestral,"$133.131,00",403101,Donaciones Personales no recurrentes,
D00099,Belén Gómez,Individuo,Contacto UUUU,Coordinador,belengomez@example.com,(011) 5000-0099,Buenos Aires,Argentina,Observación 99,-,Exento,28-90123455-8,25/1/2024,1/4/2024,NO,Anual,"$162.961,00",403101,Donaciones Personales no recurrentes,
D00100,Roberto Morales,Individuo,Contacto VVVV,Asistente,robertomorales@example.com,(011) 5000-0100,Buenos Aires,Argentina,Observación 100,-,Responsable Inscripto,29-01234576-9,26/2/2024,1/4/2024,NO,Mensual,"$156.325,00",402102,Donaciones Personales mensuales,
